fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,id
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,328
6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,329
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,330
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,331
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,332
7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,333
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,334
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,335
6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,336
5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,337
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,338
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,339
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,340
6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,341
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,342
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,343
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,344
7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,345
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,346
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,347
6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15,348
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,349
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,350
8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,351
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,352
6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,353
5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,354
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,355
5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,356
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,357
7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,358
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,359
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,360
8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,361
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.53333333333333,362
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,363
6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,364
6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,365
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,366
6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,367
7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,368
6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,369
7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,370
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,371
7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,372
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,373
6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,374
5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,375
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,376
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,377
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,378
7,0.24,0.24,1.8,0.047,29,91,0.99251,3.3,0.43,9.9,379
7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,380
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,381
5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,382
5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,383
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,384
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,385
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,386
6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2,387
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,388
7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,389
8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,390
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,391
7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,392
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,393
8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,394
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,395
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,396
6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,397
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,398
5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,399
6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,400
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,401
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,402
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,403
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,404
8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,405
6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,406
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,407
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,408
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,409
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,410
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,411
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,412
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,413
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,414
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,415
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,416
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,417
5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,418
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,419
6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,420
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,421
7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,422
7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,423
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,424
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,425
7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,426
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,427
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,428
6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,429
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,430
5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,431
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,432
6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,433
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,434
7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,435
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,436
6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,437
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,438
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,439
6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,440
6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,441
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,442
6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,443
7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3,444
5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,445
6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,446
6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,447
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,448
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,449
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,450
6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,451
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,452
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,453
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,454
7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,455
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,456
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,457
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,458
7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,459
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,460
6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,461
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,462
6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,463
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,464
5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,465
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,466
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,467
6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,468
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,469
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,470
10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,471
6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,472
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,473
4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,474
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,475
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,476
6.2,0.2,0.29,11.8,0.035,21,93,0.99364,3.18,0.34,11.9,477
7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,478
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,479
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,480
6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,481
7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,482
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,483
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,484
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,485
8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,486
6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,487
5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,488
6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,489
7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,490
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,491
5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,492
5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,493
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,494
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,495
5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,496
6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,497
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,498
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,499
5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,500
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,501
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,502
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,503
6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,504
6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,505
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,506
6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,507
6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,508
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,509
6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9,510
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,511
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,512
7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,513
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,514
8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.4666666666667,515
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,516
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,517
6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,518
7.5,0.3,0.32,1.4,0.032,31,161,0.99154,2.95,0.42,10.5,519
6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,520
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,521
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,522
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,523
5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,524
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,525
9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,526
8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,527
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,528
9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,529
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,530
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,531
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,532
8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,533
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,534
6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,535
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,536
9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,537
6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,538
7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,539
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,540
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,541
6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,542
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,543
6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,544
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,545
7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,546
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,547
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,548
6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,549
6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,550
5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,551
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,552
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,553
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,554
7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,555
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,556
7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,557
7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,558
5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,559
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,560
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,561
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,562
6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,563
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,564
5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,565
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,566
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,567
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,568
7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,569
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,570
7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,571
6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,572
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,573
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,574
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,575
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,576
6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,577
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,578
7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,579
6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,580
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,581
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,582
7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,583
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,584
6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,585
6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,586
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,587
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,588
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,589
6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,590
8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,591
5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,592
6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,593
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,594
6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,595
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,596
7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,597
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,598
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,599
6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,600
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,601
7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8,602
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,603
6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,604
6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,605
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,606
8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,607
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,608
7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,609
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,610
5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,611
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,612
5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,613
5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,614
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,615
8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,616
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,617
8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,618
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,619
5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,620
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,621
6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,622
6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,623
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,624
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,625
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,626
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,627
4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,628
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,629
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,630
6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,631
6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,632
7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,633
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,634
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,635
6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,636
6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,637
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,638
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,639
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,640
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,641
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,642
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,643
7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,644
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,645
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,646
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,647
6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,648
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,649
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,650
6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,651
7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,652
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,653
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,654
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,655
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,656
